RptNo,RptName,StatCourseNo,StatCourseName,DataDate,PlaceNo,PlaceName,PeriodNo,PeriodName,Complex1,ComplexName,Complex2,Complex2Name,Complex3,Complex3Name,Complex4,Complex4Name,Complex5,Complex5Name,DeriveNo,DeriveExplain,FValue,SValue,RptDeptNo,RptDeptName,CreateTime,ModifyTime
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000010,臺中市中區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000010,臺中市中區,S,學年,230010000102,市立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000010,臺中市中區,S,學年,2300100002,私立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000020,臺中市東區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,2,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000020,臺中市東區,S,學年,230010000102,市立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000020,臺中市東區,S,學年,2300100002,私立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000030,臺中市南區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,1,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000030,臺中市南區,S,學年,230010000102,市立,0,,0,,0,,0,,0,,0,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000030,臺中市南區,S,學年,2300100002,私立,0,,0,,0,,0,,0,,2,,387040000E,教育局,2016/12/16 上午 09:33:33,
10430-01-02-2,臺中市高級中等學校校數及教職員數─按行政區別分,1043001a101,高級中等學校校數及教職員數─按行政區別分-校數(單位:所),2015/8/1 上午 12:00:00,010000066000040,臺中市西區,S,學年,230010000101,國立,0,,0,,0,,0,,0,,1,,387040000E,教育局,2016/12/16 上午 09:33:33,
